,,,,,,,,,
,Item Sales Report (Outlet Name: Back Street Bassac),,,,,,,,
,Date From: 2025-12-01 06:00:00,,,,,,,,
,Date To: 2026-01-01 05:59:59,,,,,,,,
,"Generated Date: January 2, 2026, 2:21 PM",,,,,,,,
,,,,,,,,,
,Item Sales Report,,,,,,,,
,Category,Item Name,Dec 2025,Price,Discount,Bill Discount,Cost,Total Sales,Category Total
,Pizza Extras,Extra Pepperoni,3,6,0,0,0,6,
,Pizza Extras,Extra Mushroom,1,1,0,0,0,1,
,Pizza Extras,Extra Zucchini,0,0,0,0,0,0,
,Pizza Extras,Extra Smoked Eggplant,0,0,0,0,0,0,
,Pizza Extras,Extra Tomato,0,0,0,0,0,0,
,Pizza Extras,Extra Caramelized Onion,0,0,0,0,0,0,
,Pizza Extras,Extra Fresh Chilli,0,0,0,0,0,0,
,Pizza Extras,Extra Spinach,0,0,0,0,0,0,
,Pizza Extras,Extra Feta Cheese,0,0,0,0,0,0,
,Pizza Extras,No Tomato,0,0,0,0,0,0,
,Pizza Extras,No Onion,0,0,0,0,0,0,
,Pizza Extras,No Cheese,0,0,0,0,0,0,
,Pizza Extras,No Tomato Sauce,0,0,0,0,0,0,
,Pizza Extras,No Squid,0,0,0,0,0,0,
,Pizza Extras,No Mushroom,0,0,0,0,0,0,
,Extra Drinks,Extra Tonic,246,122,0,1,0,123,308.5
,Extra Drinks,Extra Soda,43,20.5,0,1,0,21.5,
,Extra Drinks,Extra Redbull,105,52,0,0.5,0,52.5,
,Extra Drinks,Extra Ginger Ale,9,4.25,0,0.25,0,4.5,
,Extra Drinks,Extra Coke,162,77.3325,1,2.6675,0,81,
,Extra Drinks,Extra Sprite,6,3,0,0,0,3,
,Extra Drinks,Extra Orange Juice,0,0,0,0,0,0,
,Extra Drinks,Extra Pineapple Juice,4,2,0,0,0,2,
,Extra Drinks,Extra Apple Juice,4,2,0,0,0,2,
,Extra Drinks,Extra Cranberry Juice,35,13.75,0,3.75,0,17.5,
,Extra Drinks,Extra Coke Light,3,1.5,0,0,0,1.5,
,Total Quantity / Sales,,623,307.8325,1,9.1675,0.5,318,318
,Total Quantity / Sales,,,,,,,,
,Open Item Sales Report,,,,,,,,
,Open Item,Open Item Name,Dec 2025,Price,Discount,Bill Discount,Cost,Total Sales,
,Open Group,Pleah Sachko ភ្លាសាច់គោ,1,5,0,0,0,5,
,Open Group,Change beer,2,8,0,0,0,8,
,Open Group,Cosmotital,1,5,0,0,0,5,
,Open Group,Cosmopolitan,1,5,0,0,0,5,
,Open Group,Cosmopolitan,1,5,0,0,0,5,
,Open Group,Cambodia light bottle,2,6,0,0,0,6,
,Open Group,Extra redbull,1,0.5,0,0,0,0.5,
,Open Group,Passion margarita jug,1,7.5,0,7.5,0,15,
,Open Group,Salmon,1,5,0,0,0,5,
,Open Group,Cambodia Light,8,24,0,0,0,24,
,Open Group,Fruit cake,1,4.25,0,0.75,0,5,
,Open Group,Mevuis option blue,1,2,0,0,0,2,
,Open Group,Passion margarita jug,1,20,0,5,0,25,
,Open Group,Cake fruit,1,12,0,3,0,15,
,Open Group,Cambodia. Light,5,15,0,0,0,15,
,Open Group,Cambodia light,1,3,0,0,0,3,
,Open Group,Martini cocktail jug,1,30,0,0,0,30,
,Open Group,Fresh Salmon,1,9,0,1,0,10,
,Open Group,Vegetable,1,1,0,0,0,1,
,Open Group,Extra beef,1,5,0,0,0,5,
,Open Group,Extra salmon,1,2.4995,0,2.5005,0,5,
,Open Group,Extra tonic,1,1,0,0,0,1,
,Open Group,Extra tonic,1,0.5,0,0,0,0.5,
,Total Quantity / Sales,,36,176.2495,0,19.7505,0,196,
