,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
,,Vodka,,Vodka Vanilla,Absolut Vanilla,Bottle,  3.00 ,0,,  3 ,  2 ,  (1.00),  -   ,  (12.90),,  (12.90),  -   ,,,
,,,,Vodka Sminoff,Vodka Sminoff,,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,,,Vodka Loukatos,,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Vattanac Premium,Vattanac Premium,Cans,  117.00 ,0,26,  91 ,  93 ,  2.00 ,  15.44 ,,  1.19 ,  (14.25),  -   ,,,
,,,,Vattanac Light,Vattanac Premium Light,Cans,  65.00 ,96,50,  111 ,  112 ,  1.00 ,  30.47 ,,  0.61 ,  (29.86),  58.50 ,,,
,,Gin,,Widges,Widges,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
New,,#N/A,,Wishky Mabooze,Wishky Mabooze,,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
New,,#N/A,,Wurkz,Wurkz,Cans,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,,  -   ,  -   ,,,
,,#N/A,,Zubrowska,Zubrowska,Bottle,  3.00 ,0,,  3 ,  3 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,,,Tantehue White 75cl,Tantehue White 75cl,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,,,,,,,,,,,,"  1,864.44 ","  (4,571.65)",  (187.22),"  (6,623.32)","  5,836.60 ",,,
,,,,,,,,,,,,,,,,,,,,
Cigarettes,,Cigarettes,,Esse Change,Esse Change,,  -   ,10,8,  2 ,  -   ,  (2.00),  8.00 ,,  (2.00),  (10.00),  10.00 ,Opening balance,,
Cigarettes,,Cigarettes,,Esse Light,Esse Light,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Esse Orange,Esse Orange,,  13.00 ,0,19,  (6),  3 ,  9.00 ,  26.03 ,,  12.33 ,  (13.70),  -   ,,,
Cigarettes,,Cigarettes,,Marlboro Light,Marlboro Light,,  14.00 ,0,14,  -   ,  29 ,  29.00 ,  19.18 ,,  39.73 ,  20.55 ,  -   ,,,
Cigarettes,,Cigarettes,,Marlboro Red,Marlboro Red,,  18.00 ,10,9,  19 ,  14 ,  (5.00),  12.33 ,,  (6.85),  (19.18),  13.70 ,,,
,,,,Marlboro Gold,Marlboro Gold,,  -   ,10,0,  10 ,  -   ,  (10.00),  -   ,,  (13.70),  (13.70),  13.70 ,,,
,,,,Marlboro White,Marlboro White,,  -   ,20,0,  20 ,  -   ,  (20.00),  -   ,,  (27.40),  (27.40),  27.40 ,,,
Cigarettes,,Cigarettes,,MEVIUS midnight Chill,MEVIUS midnight Chill,,  -   ,0,3,  (3),  -   ,  3.00 ,  4.90 ,,  4.90 ,  -   ,  -   ,Opening balance,,
Cigarettes,,Cigarettes,,Mevius Original,Mevius Original,,  10.00 ,30,26,  14 ,  11 ,  (3.00),  42.48 ,,  (4.90),  (47.39),  49.02 ,Opening balance,,
,,Cigarettes,,Mevius Orange,Mevius Orange,,  7.00 ,0,1,  6 ,  4 ,  (2.00),  1.63 ,,  (3.27),  (4.90),  -   ,Opening balance,,
Cigarettes,,Cigarettes,,Mevius Sky Blue,Mevius Sky Blue,,  17.00 ,0,11,  6 ,  3 ,  (3.00),  17.97 ,,  (4.90),  (22.88),  -   ,Opening balance,,
Cigarettes,,Cigarettes,,Mevius Supper Slim Freezey Dew,Mevius Supper Slim Freezey Dew,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
Cigarettes,,#N/A,,Winston Night Blue,Winston Night Blue,,  -   ,30,0,  30 ,  7 ,  (23.00),  -   ,,  (16.33),  (16.33),  21.30 ,,,
Cigarettes,,Cigarettes,,MEVIUS Winston,MEVIUS Winston,,  13.00 ,0,30,  (17),  -   ,  17.00 ,  49.02 ,,  27.78 ,  (21.24),  -   ,Opening balance,,
Cigarettes,,Cigarettes,,MEVIUS Option Blue,MEVIUS Option Blue,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Winston Option Purple,Winston Option Purple,,  -   ,10,1,  9 ,  9 ,  -   ,  0.75 ,,  -   ,  (0.75),  7.50 ,,,
,,,,Winston Light,Winston Light,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Winston Super Slims,Winston Super Slims,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,,,Winston Option Blue,,,  -   ,0,0,  -   ,  1 ,  1.00 ,  -   ,,  0.75 ,  0.75 ,  -   ,,,
,,,,,,,,120,,  120 ,  -   ,  (120.00),  -   ,,  -   ,  -   ,  -   ,,,
,,,,,,,,,,,,,182.304,0,6.138,-176.166,142.62,,,
