,,,,,Stock Count Date : 1 JAN 2026,,Counted by Seven,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Balance at at 30 Nov 2025,,, Balane as at 31 DEC 25 , Physical stock count on 31 DEC 25 ,,,,,,,,,
,,,,,Items,UOM,QTY,Purchase,Sale, QTY , QTY per Physical , Diff , COG , Consumption , Lost , Total COG , Purchase , Remark , Action Required ,
,,#N/A,,Cacha Ca 51,Cacha Ca 51,Bottle,  4.00 ,0,,  4 ,  2 ,  (2.00),  -   ,  (21.00),,  (21.00),  -   ,,,
,,Beers,,Cambodia Bottle,Cambodia Bottle,Bottle,  247.00 ,576,202,  621 ,  480 ,  (141.00),  108.72 ,,  (75.89),  (184.60),  -   ,,,
,,Bottles,,Cambodia Cans,Cambodia Cans,Cans,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,Draft Beer,Draft & Bottles,,Cambodia draft,Cambodia draft,Keg,  25.00 ,115,,  140 ,  27 ,  (113.00),  -   ,"  (2,456.52)",,"  (2,456.52)","  2,500.00 ",Consumption,,
,,#N/A,,Cambodia Irish Golding stout,Cambodia Irish Golding stout,Bottle,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,,  -   ,  -   ,,,write off
,,#N/A,,Cambodia Munchen,Cambodia Munchen,Bottle,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,To create Items code ,,write off
,,#N/A,,Cambodia Wheat Beer,Cambodia Wheat Beer,Bottle,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,write off
,,,,Cambodia drinking water,Cambodia drinking water,, Not count  ,0,0,#VALUE!,  -   ,  -   ,  -   ,,,  -   ,  -   ,,,
,,,,Cambodia CoCa,Cambodia CoCa,,  -   ,0,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,Aperitifs,,Campari,Campari,Bottle,  1.00 ,1,,  2 ,  1 ,  (1.00),  -   ,  (12.00),,  (12.00),  12.00 ,Use For blending ,,
,,Rum,,CaptainMorganDark,Captain Morgan Black,Bottle,  4.00 ,0,,  4 ,  4 ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
,,Rum,,CaptainMorganSpiced-Gold,Captain Morgan Spiced,Bottle,  9.00 ,0,,  9 ,  7 ,  (2.00),  -   ,  (23.00),,  (23.00),  -   ,Use For blending ,,
,,Draft & Bottles,,Carlsberg Bottle,Carlsberg Bottle,Bottle,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,write off
,,#N/A,,Chivas 12,Chivas 12,Bottle,  2.00 ,0,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,#N/A,,Cinzano Roso,Cinzano Roso,Bottle,  1.00 ,0,,  1 ,  -   ,  (1.00),  -   ,  (9.90),,  (9.90),  -   ,Use For blending ,,
,,Soft Drinks,,Coca Cola,Coca Cola,Bottle,  81.00 ,360,245,  196 ,  48 ,  (148.00),  89.02 ,  (53.77),,  (142.79),  130.80 ,use For blending ,,
,,Soft Drinks,,Coca Cola light,Coca Cola light,Bottle,  48.00 ,48,22,  74 ,  82 ,  8.00 ,  8.25 ,  3.00 ,,  (5.25),  18.00 ,use For blending ,,
,,Soft Drinks,,Coca Zero,Coca Zero,Bottle,  31.00 ,96,59,  68 ,  56 ,  (12.00),  20.90 ,  (4.25),,  (25.15),  34.00 ,use For blending ,,
,,Craft Beers,,Coconut Cream ale,Coconut Cream ale,Bottle,  17.00 ,12,17,  12 ,  12 ,  -   ,  22.61 ,,  -   ,  (22.61),  15.96 ,,,
New,,#N/A,,Condelemark - White,Condelemark - White,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,purchase at event day,,
,,Draft & Bottles,,Corona,Corona,Bottle,  120.00 ,120,94,  146 ,  122 ,  (24.00),  103.40 ,,  (26.40),  (129.80),  132.00 ,wrong keyin items for sale and lost,,
,,,,Chang,,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,,,
,,Soft Drinks,,Cranberry juice,Cranberry juice,Bottle,  8.00 ,24,,  32 ,  22 ,  (10.00),  -   ,  (18.33),,  (18.33),  44.00 ,Use For blending ,,
,,#N/A,,D.O.M,D.O.M,Bottle,  1.00 ,1,,  2 ,  2 ,  -   ,  -   ,  -   ,,  -   ,  23.00 ,Use For blending ,,
,,,,Express,,,  -   ,0,0,  -   ,  -   ,  -   ,  -   ,,,  -   ,  -   ,,,
,,Shooters,,Fireball,Fireball,Bottle,  3.00 ,2,,  5 ,  2 ,  (3.00),  -   ,  (52.50),,  (52.50),  35.00 ,,,
,,Liqueurs,,Frangelico,Frangelico,Bottle,  1.00 ,0,,  1 ,  1 ,  -   ,  -   ,  -   ,,  -   ,  -   ,,,
,,Craft Beers,,Gancore IPA,Gancore IPA,Bottle,  27.00 ,12,19,  20 ,  22 ,  2.00 ,  30.02 ,,  3.16 ,  (26.86),  18.96 ,,,
,,#N/A,,Giffard,Giffard,Bottle,  -   ,0,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,Use For blending ,,
